Title,Date_Arriving,Type,Year,Season,Weekly
Navillera,2021-04-20,TV,0,Season 1,Yes
Sisyphus: The Myth,2021-04-20,TV,0,Season 1,Yes
Vincenzo,2021-04-20,TV,0,Season 1,Yes
Zero,2021-04-21,TV,0,Season 1,No
Let’s Fight Ghost,2021-04-22,TV,0,Season 1,No
Life in Color with David Attenborough,2021-04-22,TV,0,Limited Series,No
Shadow and Bone,2021-04-23,TV,0,Season 1,No
Fatma,2021-04-27,TV,0,Season 1,No
Go! Go! Cory Carson,2021-04-27,TV,0,Season 4,No
Headspace Guide to Sleep,2021-04-28,TV,0,Season 1,No
Sexify,2021-04-28,TV,0,Season 1,No
Yasuke,2021-04-29,TV,0,Season 1,No
Pet Stars,2021-04-30,TV,0,Season 1,No
The Innocent,2021-04-30,TV,0,Limited Series,No
The Unremarkable Juanquini,2021-04-30,TV,0,Season 2,No
